stop_id,stop_name,stop_desc,stop_lat,stop_lon,served_lines,accessible_pmr,has_elevator,has_escalator,address,city,insee,zone,lon,lat
23563,Marennes La Bascule,Marennes La Bascule,45.619082,4.911345,"212:R,JD901:A,JD905:A,JD908:R,JD912:R,JD957:R,JD998:R",False,,,,,,2,4.911345,45.619082
23564,Marennes Croix de Pierre,Marennes Croix de Pierre,45.61917,4.906248,"JD905:R,JD908:A,JD957:R,JD998:A",False,,,,,,2,4.906248,45.61917
23565,Marennes Croix de Pierre,Marennes Croix de Pierre,45.619086,4.906296,"JD905:A,JD908:R,JD957:A,JD998:R",False,,,,,,2,4.906296,45.619086
27924,Bagnols Les Tuillières,Bagnols Les Tuillières,45.9033,4.6251,"JD444:R,JD467:R,JD477:R,JD604:R",,,,,,,3,4.6251,45.9033
12063,Paul Chevrel,37BIS ROCADE DES MONTS D OR,45.81955339808,4.800181306475,"20:A,23:R,JD185:A,JD204:R,JD57:R,JD696:A,JD973:A",True,False,False,37BIS ROCADE DES MONTS D OR,Saint-Didier-au-Mont-d'Or,69194.0,1,4.800181306475,45.81955339808
21169,Bully La Salette,Bully La Salette,45.855148,4.572734,JD411:A,False,,,,,,3,4.572734,45.855148
21171,Bully Le Trève,Bully Le Trève,45.85324,4.578457,"216:A,JD407:R,JD411:R",False,,,,,,3,4.578457,45.85324
27925,Bagnols Longchamp,Bagnols Longchamp,45.9157,4.6171,JD444:A,,,,,,,3,4.6171,45.9157
27926,Bagnols Longchamp,Bagnols Longchamp,45.9158,4.6173,JD444:R,,,,,,,3,4.6173,45.9158
1207,Ile Barbe,47 QUAI CLEMENCEAU,45.795823153971,4.830515918437,40:R,False,False,False,47 QUAI CLEMENCEAU,Caluire-et-Cuire,69034.0,1,4.830515918437,45.795823153971
12076,Pont Masaryk,46 QUAI JOSEPH GILLET,45.777876036172,4.810839985659,40:A,True,False,False,46 QUAI JOSEPH GILLET,Lyon 4e Arrondissement,69384.0,1,4.810839985659,45.777876036172
21172,Bully Le Trève,Bully Le Trève,45.853236,4.578578,"216:R,JD411:A",False,,,,,,3,4.578578,45.853236
21174,Bully Le Vieux Four,Bully Le Vieux Four,45.862849,4.555328,JD411:A,False,,,,,,3,4.555328,45.862849
12078,Les Malandières,890 RUE JACQUARD,45.892653500188,4.812434781718,43:R,True,False,False,890 RUE JACQUARD,Genay,69278.0,2,4.812434781718,45.892653500188
12079,Les Malandières,890 RUE JACQUARD,45.893000309426,4.812218393287,43:A,True,False,False,890 RUE JACQUARD,Genay,69278.0,2,4.812218393287,45.893000309426
1208,Ile Roy,33 QUAI JEAN BAPTISTE SIMON,45.82419698911,4.858854051258,40:A,False,False,False,33 QUAI JEAN BAPTISTE SIMON,Fontaines-sur-Saône,69088.0,1,4.858854051258,45.82419698911
1209,Ile Roy,33 QUAI JEAN BAPTISTE SIMON,45.824346022671,4.858751069217,40:R,False,False,False,33 QUAI JEAN BAPTISTE SIMON,Fontaines-sur-Saône,69088.0,1,4.858751069217,45.824346022671
31503,Point du Jour,4 RUE DES AQUEDUCS,45.756873856093,4.796692959501,"45:R,90:R",True,False,False,4 RUE DES AQUEDUCS,Lyon 5e Arrondissement,69385.0,1,4.796692959501,45.756873856093
23567,Marennes l'Orée du Village,Marennes l'Orée du Village,45.623457,4.923379,"212:A,JD901:R,JD905:R,JD908:A,JD912:A,JD957:A,JD998:A",True,,,,,,2,4.923379,45.623457
23568,Marennes l'Orée du Village,Marennes l'Orée du Village,45.623556,4.923711,"212:R,JD901:A,JD905:A,JD908:R,JD912:R,JD998:R",True,,,,,,2,4.923711,45.623556
23569,Marennes Pacalon,Marennes Pacalon,45.617847,4.895782,"JD905:A,JD908:R,JD957:A,JD998:R",False,,,,,,2,4.895782,45.617847
23570,Marennes Pacalon,Marennes Pacalon,45.618052,4.896178,"JD905:R,JD908:A,JD957:R,JD998:A",False,,,,,,2,4.896178,45.618052
23571,Marennes Place,Marennes Place,45.620092,4.915162,"212:R,JD901:A,JD905:A,JD908:R,JD912:R,JD957:R,JD998:R",True,,,,,,2,4.915162,45.620092
23572,Marennes Place,Marennes Place,45.620245,4.915531,"212:A,JD901:R,JD905:R,JD908:A,JD912:A,JD957:A,JD998:A",True,,,,,,2,4.915531,45.620245
23575,Marennes Route de Villette,Marennes Route de Villette,45.621515,4.919916,"212:R,JD901:A,JD905:A,JD908:R,JD912:R,JD957:R,JD998:R",False,,,,,,2,4.919916,45.621515
23576,Marennes Route de Villette,Marennes Route de Villette,45.621424,4.919422,"212:A,JD901:R,JD905:R,JD908:A,JD912:A,JD957:A,JD998:A",False,,,,,,2,4.919422,45.621424
3343,Square Meunier,46 CHEMIN DE GRANGE BLANCHE,45.665828964449,4.903903996734,"54:R,JD11:R",True,False,False,46 CHEMIN DE GRANGE BLANCHE,Corbas,69273.0,1,4.903903996734,45.665828964449
23577,Marennes Sermet,Marennes Sermet,45.622364,4.910537,"212:A,JD901:R,JD912:A,JD957:A",False,,,,,,2,4.910537,45.622364
23578,Marennes Sermet,Marennes Sermet,45.622075,4.91023,"212:R,JD901:A,JD912:R,JD957:R",False,,,,,,2,4.91023,45.622075
33431,Moulin à Vent,238 ROUTE DE VIENNE,45.729221970824,4.853681036737,C12:A,True,False,False,238 ROUTE DE VIENNE,Lyon 8e Arrondissement,69388.0,1,4.853681036737,45.729221970824
33432,Moulin à Vent,237 ROUTE DE VIENNE,45.729304007104,4.853827967367,"C12:R,PL3:A",True,False,False,237 ROUTE DE VIENNE,Vénissieux,69259.0,1,4.853827967367,45.729304007104
3346,Lycée Cuzin,39 AVENUE GENERAL LECLERC,45.801678003836,4.855933943622,C2:R,True,False,False,39 AVENUE GENERAL LECLERC,Caluire-et-Cuire,69034.0,1,4.855933943622,45.801678003836
335,Caluire Thimonnier,13 AVENUE BARTHELEMY THIMONNIER,45.805115442032,4.869021038367,ZI4:R,True,False,False,13 AVENUE BARTHELEMY THIMONNIER,Caluire-et-Cuire,69034.0,1,4.869021038367,45.805115442032
337,Caluire Victor Hugo,79 QUAI CLEMENCEAU,45.8009669699,4.841525055254,40:A,False,False,False,79 QUAI CLEMENCEAU,Caluire-et-Cuire,69034.0,1,4.841525055254,45.8009669699
37719,Centre L. Bonnevay,23 RUE DU CASTELLARD,45.810180765065,4.794947318002,"JD53:R,JD842:A,JD973:A",False,False,False,23 RUE DU CASTELLARD,Saint-Didier-au-Mont-d'Or,69194.0,1,4.794947318002,45.810180765065
21139,Brullioles Vaux,Brullioles Vaux,45.766501,4.518552,JD406:A,False,,,,,,4,4.518552,45.766501
21140,Val d'Oingt LBO. Collège,Val d'Oingt LBO. Collège,45.926839,4.582088,"217:A,JD445:R,JD445:A",False,,,,,,4,4.582088,45.926839
21145,St-Bonnet-Le-Troncy Bourg,St-Bonnet-Le-Troncy Bourg,46.08456,4.42643,"239:R,JD348:R,JD361:R,JD377:A",False,,,,,,5,4.42643,46.08456
21168,Bully Rue de France,Bully Rue de France,45.851273,4.580593,JD411:A,False,,,,,,3,4.580593,45.851273
23579,Orliénas Place De l'Eglise,Orliénas Place De l'Eglise,45.659551,4.718599,"JD704:R,JD705:R,JD736:A,JD737:A,JD738:A,JD744:A",False,,,,,,2,4.718599,45.659551
23580,Orliénas Place De l'Eglise,Orliénas Place De l'Eglise,45.658766,4.718601,"JD704:A,JD705:A,JD706:A,JD736:R,JD737:R,JD738:R,JD744:R",False,,,,,,2,4.718601,45.658766
23581,Orliénas Hôtel Des Eaux,Orliénas Hôtel Des Eaux,45.662582,4.713551,"JD704:R,JD705:R,JD736:A,JD738:A,JD744:A",False,,,,,,2,4.713551,45.662582
23582,Orliénas Hôtel Des Eaux,Orliénas Hôtel Des Eaux,45.662547,4.713524,"JD704:A,JD705:A,JD706:A,JD736:R,JD738:R,JD744:R",False,,,,,,2,4.713524,45.662547
23590,Orliénas Centre,Orliénas Centre,45.658655,4.719176,245:R,False,,,,,,2,4.719176,45.658655
23591,Bas de Chassagne,Bas de Chassagne,45.720421,4.811076,"220:A,JD746:A",True,,,,,,1,4.811076,45.720421
23592,Bas de Chassagne,Bas de Chassagne,45.720888,4.811007,"220:R,JD746:R",False,,,,,,1,4.811007,45.720888
1210,Ile Tabard,43 RUE DES SELETTES,45.664470557924,4.825983429436,"15E:A,18:A,JD15:R,JD2:R,JD264:R,JD741:R",True,False,False,43 RUE DES SELETTES,Irigny,69100.0,1,4.825983429436,45.664470557924
12105,Oullins Mairie,120 RUE GRANDE RUE,45.714640960149,4.807205011733,"63:A,C10:A",True,False,False,120 RUE GRANDE RUE,Oullins-Pierre-Bénite,69149.0,1,4.807205011733,45.714640960149
12107,Oullins Ville,3 RUE DE LA CAMILLE,45.712254028181,4.802530020113,"63:A,JD268:R,JD269:R",True,False,False,3 RUE DE LA CAMILLE,Oullins-Pierre-Bénite,69149.0,1,4.802530020113,45.712254028181
33770,Perrache,0 PLACE CARNOT,45.74946381681,4.827810319843,"34:R,60:R,BR60:R",False,False,False,0 PLACE CARNOT,Lyon 2e Arrondissement,69382.0,1,4.827810319843,45.74946381681
33771,Perrache,0 PLACE CARNOT,45.749164068418,4.827526746978,63:A,False,False,False,0 PLACE CARNOT,Lyon 2e Arrondissement,69382.0,1,4.827526746978,45.749164068418
33773,Perrache,0 PLACE CARNOT,45.750113588351,4.825705409773,55:A,False,False,False,0 PLACE CARNOT,Lyon 2e Arrondissement,69382.0,1,4.825705409773,45.750113588351
27942,Beaujeu Le Colombier,Beaujeu Le Colombier,46.1642,4.5964,JD366:R,,,,,,,5,4.5964,46.1642
27972,Belleville Café De La Paix,Belleville Café De La Paix,46.1103,4.7419,JD395:R,,,,,,,5,4.7419,46.1103
33777,Perrache,0 PLACE CARNOT,45.75002496877,4.826048550101,49:A,False,False,False,0 PLACE CARNOT,Lyon 2e Arrondissement,69382.0,1,4.826048550101,45.75002496877
33778,Perrache,0 PLACE CARNOT,45.749917509165,4.826429408914,C21:A,False,False,False,0 PLACE CARNOT,Lyon 2e Arrondissement,69382.0,1,4.826429408914,45.749917509165
33779,Perrache,0 PLACE CARNOT,45.749799146903,4.825678327286,"15:R,31:R,46:R,49:R,55:R,63:R,8:R,C10:R,C19:R,C21:R,JD10:R,JD231:R",False,False,False,0 PLACE CARNOT,Lyon 2e Arrondissement,69382.0,1,4.825678327286,45.749799146903
27973,Belleville Champ De Foire,Belleville Champ De Foire,46.1063,4.7476,"161:A,231:A,JD394:A,JD476:A",True,,,,,,5,4.7476,46.1063
27974,Belleville Champ De Foire,Belleville Champ De Foire,46.1064,4.7473,"161:R,231:R,JD394:R,JD476:R",True,,,,,,5,4.7473,46.1064
27975,Belleville Chapelle,Belleville Chapelle,46.1088,4.733,"231:A,JD476:A",True,,,,,,5,4.733,46.1088
27976,Belleville Chapelle,Belleville Chapelle,46.1088,4.733,"231:R,JD476:R",True,,,,,,5,4.733,46.1088
27977,Belleville Chemin Caron,Belleville Chemin Caron,46.1102,4.7423,JD476:A,,,,,,,5,4.7423,46.1102
27978,Belleville Chemin Caron,Belleville Chemin Caron,46.1102,4.7423,JD476:R,,,,,,,5,4.7423,46.1102
27983,Belleville La Tannerie,Belleville La Tannerie,46.1115,4.7501,JD395:A,,,,,,,5,4.7501,46.1115
27984,Belleville La Tannerie,Belleville La Tannerie,46.1115,4.7501,JD395:R,,,,,,,5,4.7501,46.1115
27993,Belleville Parking Loron,Belleville Parking Loron,46.1114,4.736,"JD325:A,JD476:A",,,,,,,5,4.736,46.1114
3378,Cuire,16 RUE DE LA GARE DE CUIRE,45.78563798056,4.832755763236,S5:A,True,False,False,16 RUE DE LA GARE DE CUIRE,Caluire-et-Cuire,69034.0,1,4.832755763236,45.78563798056
33780,Perrache,0 PLACE CARNOT,45.749966173327,4.826264465219,46:A,False,False,False,0 PLACE CARNOT,Lyon 2e Arrondissement,69382.0,1,4.826264465219,45.749966173327
33782,Perrache,0 PLACE CARNOT,45.749877836937,4.826594759264,31:A,False,False,False,0 PLACE CARNOT,Lyon 2e Arrondissement,69382.0,1,4.826594759264,45.749877836937
338,Caluire Victor Hugo,79 QUAI CLEMENCEAU,45.800786441793,4.841281062443,40:R,False,False,False,79 QUAI CLEMENCEAU,Caluire-et-Cuire,69034.0,1,4.841281062443,45.800786441793
21175,Bessenay Le Bourg,Bessenay Le Bourg,45.776023,4.553696,JD407:R,False,,,,,,3,4.553696,45.776023
21177,Bessenay La Brevenne,Bessenay La Brevenne,45.773528,4.567802,"JD407:R,JD407:A",True,,,,,,3,4.567802,45.773528
21178,Bessenay La Brevenne,Bessenay La Brevenne,45.773654,4.567954,JD407:R,True,,,,,,3,4.567954,45.773654
