stop_id,stop_name,served_lines,accessible_pmr,has_elevator,has_escalator,address,city,insee,zone,lon,lat
32656,Les Chanterelles,"JD181:A,JD54:R,JD70:R,JD71:R,JD815:A,JD815:R",True,False,False,22 CHEMIN DE L ECULLY,Collonges-au-Mont-d'Or,69063.0,1,4.835415081233,45.823771364217
25353,Eveux - Rue De La Comete,"241:A,JD579:A,JD642:A",,,,,,,3,4.6202,45.8288
25372,Brullioles - Le Grand Pitaval,JD563:A,,,,,,,4,4.4733,45.7707
25374,Brullioles - Le Trimel,JD563:A,,,,,,,4,4.488,45.7594
25375,Brullioles - La Forêt,JD563:A,,,,,,,4,4.478,45.7478
25376,Montrottier - Croix Du Fol,JD563:R,,,,,,,4,4.4516,45.7987
25380,St-Julien - La Bascule,"JD583:A,JD649:A",,,,,,,3,4.5184,45.804
32657,Ecoles de Collonges,"JD815:A,JD815:R",False,False,False,7 CHEMIN DE L ECULLY,Collonges-au-Mont-d'Or,69063.0,1,4.838883036696,45.822757001366
32659,Grand Port,71:R,False,False,False,9 RUE DE LA MAIRIE,Collonges-au-Mont-d'Or,69063.0,1,4.840389790661,45.820492198933
32660,Collonges,"JD181:A,JD208:A,JD208:R,JD54:R,JD70:R,JD815:R,JD815:A,JD819:A",False,False,False,3 RUE DE LA MAIRIE,Collonges-au-Mont-d'Or,69063.0,1,4.840157170751,45.822450669771
32682,Gorge de Loup,"14:R,14:A",False,False,False,56 RUE SERGENT MICHEL BERTHET,Lyon 9e Arrondissement,69389.0,1,4.804217040071,45.766890016639
25381,St-Julien - Le Baubin,JD649:A,,,,,,,3,4.5274,45.8075
32743,Sacré Coeur,C16:A,True,False,False,98 RUE BARABAN,Lyon 3e Arrondissement,69383.0,1,4.867781008928,45.759091004662
36200,La Rochère,78:A,True,False,False,89 RUE PIERRE SEMARD,Grigny-sur-Rhône,69096.0,2,4.792888940516,45.60975499147
36204,Centre Chervet,"78:A,80:R",True,False,False,15 AVENUE JEAN ESTRAGNAT,Grigny-sur-Rhône,69096.0,2,4.78789999539,45.607507979151
36206,Grigny Bel Air,80:A,True,False,False,1 RUE ANDRE SABATIER,Grigny-sur-Rhône,69096.0,2,4.786369639972,45.609654780373
36207,Grigny Bel Air,80:R,True,False,False,22 RUE ANDRE SABATIER,Grigny-sur-Rhône,69096.0,2,4.786135040903,45.609651001597
36208,Grigny Ampère,80:A,False,False,False,2 RUE AMPERE,Grigny-sur-Rhône,69096.0,2,4.783710002457,45.609586021602
25354,Fleurieux - Chemin Du Buvet,"JD579:A,JD579:R",,,,,,,2,4.6702,45.8393
25366,Montrottier - Route d'Ancy,JD563:A,,,,,,,4,4.4564,45.7991
25367,Montrottier - Croix Matillon,"JD563:A,JD591:R",,,,,,,4,4.4625,45.7945
25382,Savigny - Place Des Rosiers,"285:A,JD649:A,JD649:R",,,,,,,3,4.5759,45.8177
44382,Seiglière - Jaurès,JD126:A,False,,,,,,2,5.019005003272,45.746541022774
44738,Notre Dame - La Plaine,"JD72:R,JD72:A",False,,,,,,1,4.831716100114,45.856573337113
45618,Ecole Collège J. d'Arc,"JD120:R,JD120:A,JD121:R,JD121:A,JD122:A,JD122:R,JD123:R,JD123:A,JD125:A,JD125:R,JD126:A,JD126:R,JD127:R,JD127:A,JD128:A,JD128:R,JD129:R,JD129:A,JD8:R,JD8:A",False,,,,,,2,5.016129041649,45.736231958756
45778,Edmond Guion,JD271:R,False,,,,,,2,4.717180428647,45.814348165104
45923,Le Bouleau,JD165:R,False,,,,,,2,4.713918056964,45.713971954887
42517,La Gravière de Beaunant,"14:A,C19:R,JD100:A",True,False,False,9 AVENUE DE LIMBURG,Sainte-Foy-lès-Lyon,69202.0,1,4.779714708721,45.734183950077
42534,Constant,C8:A,True,False,False,217 AVENUE LACASSAGNE,Lyon 3e Arrondissement,69383.0,1,4.888399018477,45.745583023229
42538,Séverine,C8:A,True,False,False,40 RUE NICOLAS GARNIER,Villeurbanne,69266.0,1,4.913864033297,45.753996987362
42540,Carré de Soie,C8:A,True,False,False,291 RUE LEON BLUM,Villeurbanne,69266.0,1,4.918327801744,45.764548481038
25385,Ancy - Le Mullin,"JD576:R,JD649:A",,,,,,,3,4.5323,45.8331
25386,Savigny - Bas De Taylan,"JD576:A,JD649:A",,,,,,,3,4.5458,45.8201
25387,Savigny - Lanay,"JD576:A,JD649:A",,,,,,,3,4.5659,45.8134
25388,Savigny - La Madone,"JD576:A,JD576:R,JD647:A,JD647:R",True,,,,,,3,4.575039,45.822941
25383,Savigny - Bombeynon,JD649:A,,,,,,,3,4.5274,45.8153
25384,Savigny - Teylan,"JD576:R,JD576:A,JD649:A,JD649:R",,,,,,,3,4.5356,45.8237
25389,Savigny - Les Hauts De Savigny,"285:R,285:A,JD576:R,JD576:A,JD647:R,JD649:A,JD649:R",True,,,,,,3,4.5823,45.8198
25390,Savigny - Carrefour Smad,JD649:A,,,,,,,3,4.5878,45.8221
25391,Sain-Bel - L'Arch. Aquacentre,"285:R,JD649:R",,,,,,,3,4.5987,45.8262
25392,L'Arbresle - Centre Commercial,"243:R,285:R,JD646:R,JD694:A",True,,,,,,3,4.6071,45.8239
25393,L'Arbresle - Gare,"241:R,241:A,243:A,243:R,285:R,285:A,JD643:A,JD643:R,JD645:A,JD645:R,JD646:R,JD646:A,JD649:R,JD649:A,JD694:R,JD694:A",True,,,,,,3,4.6186,45.8328
25394,Sarcey - Mairie,"285:R,JD648:A",,,,,,,3,4.557878,45.878906
33102,Robert Reynier,C12:R,True,False,False,55 RUE CARNOT,Saint-Fons,69199.0,1,4.861442024182,45.708076960363
33124,Marietton S. Apollinaire,"5:R,PL3:R",True,False,False,111 RUE MARIETTON,Lyon 9e Arrondissement,69389.0,1,4.793927018497,45.774693603278
33125,Collège des Battières,65:A,True,False,False,56 AVENUE GENERAL EISENHOWER,Lyon 5e Arrondissement,69385.0,1,4.781423103368,45.751230701796
33126,Collège des Battières,65:R,True,False,False,56 AVENUE GENERAL EISENHOWER,Lyon 5e Arrondissement,69385.0,1,4.781537110084,45.751192214828
33127,Berjon - St Simon,"5:R,PL3:R",True,False,False,87 RUE MARIETTON,Lyon 9e Arrondissement,69389.0,1,4.797790957208,45.776297967778
24870,Vaugneray - Collège Ndv,"JD594:A,JD594:R,JD660:R,JD660:A,JD661:A,JD661:R,JD662:A,JD662:R,JD663:R,JD663:A,JD665:A,JD665:R,JD668:R,JD668:A,JD669:A,JD669:R,JD680:A,JD680:R,JD690:R,JD690:A",,,,,,,2,4.6616,45.7321
3316,Grand Chassagnon,93:A,False,False,False,38 RUE NOEL DESCORMES,Saint-Fons,69199.0,1,4.863466587877,45.701932107813
36247,Givors Leclerc,"78:R,80:R,81:R",True,False,False,16 RUE VICTOR HUGO,Givors,69091.0,2,4.771042053454,45.588640996266
36248,Givors Carnot,"80:A,80:R,81:R,81:A,S3:A,S3:R",True,False,False,65 RUE ROGER SALENGRO,Givors,69091.0,2,4.771500597488,45.585415950384
